date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:59	562/562	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:18b4cef94ae4ed75aea950d4700e8816%22	https://pettikadai.in/robots.txt		(from )
21:45:01	294233/294233	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:f8c763531615e1d90b6eb789e64fe515%22	https://pettikadai.in/?srsltid=AfmBOorv3H_5J5N-mHdHg654e6go8-2-tlW5v76c0KVaae4CdDxuqtUU	C:/My%20Web%20Sites/pettikadai/pettikadai.in/indexab3f.html	(from )
21:45:02	22108/22108	---M-Z	200	added ('OK')	application/javascript	etag:%222f2b0b1b02d2da22b943a62e6dbbe780%22	https://pdp.gokwik.co/merchant-integration/build/merchant.integration.js?v4	C:/My%20Web%20Sites/pettikadai/pdp.gokwik.co/merchant-integration/build/merchant.integration5ed3.js	(from https://pettikadai.in/?srsltid=AfmBOorv3H_5J5N-mHdHg654e6go8-2-tlW5v76c0KVaae4CdDxuqtUU)
21:45:02	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/pettikadai/code.jquery.com/jquery-3.6.0.min.js	(from https://pettikadai.in/?srsltid=AfmBOorv3H_5J5N-mHdHg654e6go8-2-tlW5v76c0KVaae4CdDxuqtUU)
21:45:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Nov%202025%2012:46:17%20GMT	http://pettikadai.in/cdn/shop/files/pettikadai-logo-final_32x32.png?v=1617186550	C:/My%20Web%20Sites/pettikadai/pettikadai.in/cdn/shop/files/pettikadai-logo-final_32x32.26ccc.delayed	(from https://pettikadai.in/?srsltid=AfmBOorv3H_5J5N-mHdHg654e6go8-2-tlW5v76c0KVaae4CdDxuqtUU)
21:45:05	294233/294233	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:f8c763531615e1d90b6eb789e64fe515%22	https://pettikadai.in/	C:/My%20Web%20Sites/pettikadai/pettikadai.in/index.html	(from https://pettikadai.in/?srsltid=AfmBOorv3H_5J5N-mHdHg654e6go8-2-tlW5v76c0KVaae4CdDxuqtUU)
21:45:05	2987/2987	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Nov%202025%2022:51:32%20GMT	https://pettikadai.in/cdn/shop/files/pettikadai-logo-final_32x32.png?v=1617186550	C:/My%20Web%20Sites/pettikadai/pettikadai.in/cdn/shop/files/pettikadai-logo-final_32x326ccc.png	(from https://pettikadai.in/?srsltid=AfmBOorv3H_5J5N-mHdHg654e6go8-2-tlW5v76c0KVaae4CdDxuqtUU)
21:45:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Nov%202025%2012:46:20%20GMT	http://pettikadai.in/cdn/shop/t/74/assets/apps.css?v=105205638759803146001759058207	C:/My%20Web%20Sites/pettikadai/pettikadai.in/cdn/shop/t/74/assets/apps562f.css	(from https://pettikadai.in/?srsltid=AfmBOorv3H_5J5N-mHdHg654e6go8-2-tlW5v76c0KVaae4CdDxuqtUU)
21:45:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Nov%202025%2012:46:21%20GMT	http://pettikadai.in/cdn/shop/t/74/assets/styles.css?v=53283441559302309071759058207	C:/My%20Web%20Sites/pettikadai/pettikadai.in/cdn/shop/t/74/assets/styles435f.css	(from https://pettikadai.in/?srsltid=AfmBOorv3H_5J5N-mHdHg654e6go8-2-tlW5v76c0KVaae4CdDxuqtUU)
21:45:07	194049/194049	---MCZ	200	added ('OK')	text/css	date:Sun,%2009%20Nov%202025%2001:08:03%20GMT	https://pettikadai.in/cdn/shop/t/74/assets/apps.css?v=105205638759803146001759058207	C:/My%20Web%20Sites/pettikadai/pettikadai.in/cdn/shop/t/74/assets/apps562f.css	(from https://pettikadai.in/?srsltid=AfmBOorv3H_5J5N-mHdHg654e6go8-2-tlW5v76c0KVaae4CdDxuqtUU)
21:45:09	276433/276433	---MCZ	200	added ('OK')	text/css	date:Sun,%2009%20Nov%202025%2001:08:03%20GMT	https://pettikadai.in/cdn/shop/t/74/assets/styles.css?v=53283441559302309071759058207	C:/My%20Web%20Sites/pettikadai/pettikadai.in/cdn/shop/t/74/assets/styles435f.css	(from https://pettikadai.in/?srsltid=AfmBOorv3H_5J5N-mHdHg654e6go8-2-tlW5v76c0KVaae4CdDxuqtUU)
21:45:28	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Nov%202025%2012:46:43%20GMT	http://pettikadai.in/cdn/shop/t/74/assets/jquery.js?v=177851068496422246591759058207	C:/My%20Web%20Sites/pettikadai/pettikadai.in/cdn/shop/t/74/assets/jquery.9f9f0.delayed	(from https://pettikadai.in/?srsltid=AfmBOorv3H_5J5N-mHdHg654e6go8-2-tlW5v76c0KVaae4CdDxuqtUU)
